id,title,genre,poster,imdbrating,year
1,10 Cloverfield Lane,Thriller,10CloverfieldLane.jpg,7.2,2016
2,13 Hours,Drama,13Hours.jpg,7.3,2016
3,50 50,Comedy,5050.jpg,8.3,2016
4,Arrival,Sci-Fi,Arrival.jpg,7.9,2016
5,Batman v Superman Dawn of Justice,Action Adventure Fantasy Sci-Fi,BatmanvSupermanDawnofJustice.jpg,6.5,2016
6,Captain America Civil War,Action Sci-Fi,CaptainAmericaCivilWar.jpg,7.8,2016
7,Contact,Drama Sci-Fi,Contact.jpg,7.9,2016
8,Deadpool,Action Comedy Sci-Fi,Deadpool.jpg,8,2016
9,Doctor Strange,Sci-Fi,DoctorStrange.jpg,7.5,2016
10,Don't Breathe,Thriller,Don'tBreathe.jpg,7.1,2016
11,Fantastic Beasts and Where to Find Them,Fantasy,FantasticBeastsandWheretoFindThem.jpg,7.3,2016
12,Finding Dory,Animation Comedy,FindingDory.jpg,7.3,2016
13,Hacksaw Ridge,War,HacksawRidge.jpg,8.1,2016
14,Hail Caesar!,Comedy,HailCaesar!.jpg,6.3,2016
15,Hell or High Water,Crime Drama,HellorHighWater.jpg,7.6,2016
16,Hidden Figures,Drama,HiddenFigures.jpg,7.8,2016
17,Hush,Thriller,Hush.jpg,6.6,2016
18,Inferno,Mystery Thriller,Inferno.jpg,6.2,2016
19,Jason Bourne,Action,JasonBourne.jpg,6.6,2016
20,Kubo and the Two Strings,Animation Children Fantasy,KuboandtheTwoStrings.jpg,7.8,2016
21,Kung Fu Panda 3,Animation,KungFuPanda3.jpg,7.1,2016
22,La La Land,Comedy,LaLaLand.jpg,8,2016
23,Manchester by the Sea,Drama,ManchesterbytheSea.jpg,7.8,2016
24,Moana,Animation Children Comedy Fantasy,Moana.jpg,7.6,2016
25,Neighbors 2 Sorority Rising,Comedy,Neighbors2SororityRising.jpg,5.7,2016
26,Now You See Me 2,Action Comedy Thriller,NowYouSeeMe2.jpg,6.5,2016
27,Passengers,Adventure Drama Romance Sci-Fi,Passengers.jpg,7,2016
28,Rogue One A Star Wars Story,Action Adventure Fantasy Sci-Fi,RogueOneAStarWarsStory.jpg,7.8,2016
29,Sausage Party,Animation Comedy Fantasy,SausageParty.jpg,7.3,2016
30,Star Trek Beyond,Sci-Fi,StarTrekBeyond.jpg,7.3,2016
31,Suicide Squad,Action Sci-Fi,SuicideSquad.jpg,6.6,2016
32,The Conjuring,Horror,TheConjuring2.jpg,7.5,2016
33,The Jungle Book,Adventure Drama Family Fantasy,TheJungleBook.jpg,7.5,2016
